tabela,tempo(s)
armazem,0.03108022299966251
armazem,0.0048242259999824455
armazem,0.0031844850000197766
armazem,0.002695746999961557
armazem,0.003896113001246704
armazem,0.0033591889987292234
armazem,0.0027861889993801014
armazem,0.0023393550000037067
armazem,0.00383306299954711
armazem,0.0026531780004006578
setor,0.002713095000217436
setor,0.0025649910003266996
setor,0.0027500180003698915
setor,0.0023586089992022607
setor,0.002600724001240451
setor,0.0025322450001112884
setor,0.002386146001299494
setor,0.002452624001307413
setor,0.002611871999761206
setor,0.002267411999127944
setor,0.002198511001552106
setor,0.0033223120008187834
setor,0.0026304120001441333
setor,0.002444781001031515
setor,0.0026549340000201482
setor,0.0026833169995370554
setor,0.002786683999147499
setor,0.0027804429992102087
setor,0.0025006569994729944
setor,0.002507144999981392
setor,0.0031722269995952956
setor,0.002908368000134942
setor,0.002813996999975643
setor,0.002769863000139594
setor,0.002965339999718708
setor,0.0028479880002123537
setor,0.0026139870005863486
setor,0.002643353000166826
setor,0.00300988100025279
setor,0.002640061999045429
setor,0.002687176000108593
setor,0.0030464639985439135
setor,0.002870551999876625
setor,0.002559497999754967
setor,0.002532483000322827
setor,0.0025688599998829886
setor,0.003088796000156435
setor,0.002842591000444372
setor,0.002662394001163193
setor,0.002655082998899161
setor,0.0032402279994130367
setor,0.002580361000582343
setor,0.002505870999812032
setor,0.0024053500001173234
setor,0.002820346999214962
setor,0.0027166580002813134
setor,0.0023780409992468776
setor,0.00243904299895803
setor,0.0029946659997222014
setor,0.0026151599995500874
setor,0.002491606001058244
setor,0.0031935879997035954
setor,0.0028887649987154873
setor,0.002834631000951049
setor,0.002731889999267878
setor,0.002538651999202557
setor,0.002911145998950815
setor,0.0026385019991721492
setor,0.002670062998731737
setor,0.0025391809995198855
setor,0.0028953639994142577
setor,0.0027303909992042463
setor,0.0029485430004569935
setor,0.0030466230000456562
setor,0.003579177999199601
setor,0.003459964000285254
setor,0.003532995000568917
setor,0.0037530640001932625
setor,0.0039018930001475383
setor,0.0035525739986042026
setor,0.0037335380002332386
setor,0.0048863960000744555
setor,0.004312432998631266
setor,0.0038414799983002013
setor,0.003688134000185528
setor,0.00422910899942508
setor,0.003946208998968359
setor,0.0038061849991208874
setor,0.0043338569994375575
setor,0.004179166999165318
setor,0.004125000999920303
setor,0.00359492300049169
setor,0.0036507180011540186
setor,0.0036256390012567863
setor,0.004119080000236863
setor,0.0037823929997102823
setor,0.003649503001724952
setor,0.0037784220003231894
setor,0.004284201000700705
setor,0.004125628000110737
setor,0.0038576659990212647
setor,0.005226367999057402
setor,0.0041645300007076
setor,0.003859514001305797
setor,0.003768467000554665
setor,0.0037819910012331093
setor,0.004588931999023771
setor,0.0041389599991816794
setor,0.0038320759995258413
setor,0.0037558090007223655
cliente,0.0047797280003578635
cliente,0.004004554999482934
cliente,0.003804575999311055
cliente,0.0037178090005909326
cliente,0.004576147000989295
cliente,0.0038973600003373576
cliente,0.0037447100003191736
cliente,0.00406083999951079
cliente,0.004029044999697362
cliente,0.0040501530002075015
cliente,0.0042421350008226
cliente,0.00659593899945321
cliente,0.004917788000966539
cliente,0.004217955000058282
cliente,0.004117501001019264
cliente,0.004007023999292869
cliente,0.004505979999521514
cliente,0.004339683000580408
cliente,0.0045882799986429745
cliente,0.005001157000151579
cliente,0.004872051998972893
cliente,0.0052561590000550495
cliente,0.004148448999330867
cliente,0.0039173440000013215
cliente,0.004457426999579184
cliente,0.004140738999922178
cliente,0.0043811199993797345
cliente,0.004264646999217803
cliente,0.004930708000756567
cliente,0.004453093999472912
cliente,0.004292961999453837
cliente,0.004277374000594136
cliente,0.003928142999939155
cliente,0.0033322929994028527
cliente,0.0028574749994731974
cliente,0.002965820000099484
cliente,0.002479988999766647
cliente,0.0022794759988755686
cliente,0.002197972999056219
cliente,0.0022738409988960484
cliente,0.002160262998586404
cliente,0.0020446610014914768
cliente,0.001992798001083429
cliente,0.001983505000680452
cliente,0.0023219630002131453
cliente,0.002183209999202518
cliente,0.002013379998970777
cliente,0.002017440001509385
cliente,0.002186286001233384
cliente,0.0022539790006703697
cliente,0.0021639870010403683
cliente,0.0020989570002711844
cliente,0.0023893910001788754
cliente,0.0022670950002066093
cliente,0.0021492239993676776
cliente,0.0019249350007157773
cliente,0.002150467998944805
cliente,0.002001872000619187
cliente,0.0020893710006930633
cliente,0.0020980720000807196
cliente,0.0026291660014976515
cliente,0.0023142900008679135
cliente,0.002044832999672508
cliente,0.002093273998980294
cliente,0.0024676500015630154
cliente,0.0021395160001702607
cliente,0.0020213269999658223
cliente,0.0019066330005443888
cliente,0.002069636999294744
cliente,0.0019892799991794163
cliente,0.0019620960010797717
cliente,0.001937488999828929
cliente,0.0021037580008851364
cliente,0.00213849000101618
cliente,0.002045307001026231
cliente,0.001943881999977748
cliente,0.002406309000434703
cliente,0.0020833130001847167
cliente,0.0019699729982676217
cliente,0.0018654329996934393
cliente,0.002294500998686999
cliente,0.0021039990006102016
cliente,0.0020076609998795902
cliente,0.001970839000932756
cliente,0.0020833450016652932
cliente,0.002046294999672682
cliente,0.001919078000355512
cliente,0.0019185609999112785
cliente,0.0022377169989340473
cliente,0.0020286840008338913
cliente,0.001972832000319613
cliente,0.0020352949995867675
cliente,0.00274115700085531
cliente,0.0023463059987989254
cliente,0.002283260000695009
cliente,0.0019459310005913721
cliente,0.002298760000485345
cliente,0.0018529720000515226
cliente,0.0019071070000791224
cliente,0.0017167599999083905
cliente,0.002223224999397644
cliente,0.0020745969995914493
cliente,0.0017442440002923831
cliente,0.001813910999771906
cliente,0.00203982899984112
cliente,0.001822472999265301
cliente,0.0017353209987049922
cliente,0.0016491970000060974
cliente,0.0019499299996823538
cliente,0.0017226020008820342
cliente,0.001821861000280478
cliente,0.0017864740002551116
cliente,0.002299027999470127
cliente,0.003159005000270554
cliente,0.0018262120011058869
cliente,0.0017518990007374668
cliente,0.0020491000013862504
cliente,0.0020217849996697623
cliente,0.001828874001148506
cliente,0.0020752079999510897
cliente,0.0019172110005456489
cliente,0.0018056820008496288
cliente,0.0016876749996299623
cliente,0.0021181789998081513
cliente,0.0027426830001786584
cliente,0.0025634560006437823
cliente,0.002482580001014867
cliente,0.002422412000669283
cliente,0.0029553439999290276
cliente,0.0026447179989190772
cliente,0.0022543970007973257
cliente,0.0032343910006602528
cliente,0.0027112139996461337
cliente,0.0024458640000375453
cliente,0.0024219410006480757
cliente,0.002304347999597667
cliente,0.002638322999700904
cliente,0.002411323999695014
cliente,0.002275938000821043
cliente,0.0022632429991062963
cliente,0.0025666159999673255
cliente,0.002354708998609567
cliente,0.002433057001326233
cliente,0.0024400759994023247
cliente,0.00273835599909944
cliente,0.0031552180007565767
cliente,0.00291378699876077
cliente,0.002915127000960638
cliente,0.003689269999085809
cliente,0.004155743999945116
cliente,0.004086249999090796
cliente,0.0040935200013336726
cliente,0.004220032000375795
cliente,0.0036776659999304684
cliente,0.0036524939987430116
cliente,0.0035691550001502037
cliente,0.0038311309999699006
cliente,0.003630876999523025
cliente,0.003435130000070785
cliente,0.0034941349986183923
cliente,0.003775107999899774
cliente,0.004258845001459122
cliente,0.004112376000193763
cliente,0.003627681999205379
cliente,0.0037319200000638375
cliente,0.0036976770006731385
cliente,0.0036221440004737815
cliente,0.003357616000357666
cliente,0.0037721379994763993
cliente,0.0034746500004985137
cliente,0.004308440999011509
cliente,0.0043643649987643585
cliente,0.0045072890006849775
cliente,0.004041071000756347
cliente,0.003770512001210591
cliente,0.00380777999998827
cliente,0.003793733998463722
cliente,0.0031309740006690845
cliente,0.0030102389991952805
cliente,0.0027759840013459325
cliente,0.002596127998913289
cliente,0.0022069450005801627
cliente,0.002029081999353366
cliente,0.002055901999483467
cliente,0.0022858709999127313
cliente,0.002292982000653865
cliente,0.0021384179999586195
cliente,0.0023009329997876193
cliente,0.0025085910001507727
cliente,0.0026591660007397877
cliente,0.0027734390005207388
cliente,0.0030841999996482627
cliente,0.004217952999169938
cliente,0.0037285840007825755
cliente,0.0034169589998782612
cliente,0.003420528000788181
cliente,0.003773462000026484
cliente,0.004151454000748345
cliente,0.0037997800009179628
