requisicao,tempo(s)
novo_pedido,0.004671843000323861
novo_pedido,0.00292946100125846
novo_pedido,0.0026132079983653966
novo_pedido,0.0020436289996723644
novo_pedido,0.0018958330001623835
novo_pedido,0.00176655299947015
novo_pedido,0.0018240949993924005
novo_pedido,0.0018198560010205256
novo_pedido,0.0018784969997795997
novo_pedido,0.002209472000686219
novo_pedido,0.002456262000123388
novo_pedido,0.002055757000562153
novo_pedido,0.002139008000085596
novo_pedido,0.0022023120000085328
novo_pedido,0.001961633999599144
novo_pedido,0.0017684750000626082
novo_pedido,0.0017471589999331627
novo_pedido,0.0017810009994718712
novo_pedido,0.003397792999749072
novo_pedido,0.002524556000935263
novo_pedido,0.002149915999325458
novo_pedido,0.0019407889994909056
novo_pedido,0.0020215830008964986
novo_pedido,0.002000554999540327
novo_pedido,0.002034682998782955
novo_pedido,0.001804286001060973
novo_pedido,0.001937856000949978
novo_pedido,0.0019995170005131513
novo_pedido,0.0021744559999206103
novo_pedido,0.0021929159993305802
novo_pedido,0.002341774001251906
novo_pedido,0.0020754329998453613
novo_pedido,0.0020953950006514788
novo_pedido,0.00204030099848751
novo_pedido,0.00212524000016856
novo_pedido,0.0020222469993314007
novo_pedido,0.0019990420005342457
novo_pedido,0.0030279429993242957
novo_pedido,0.002402071000688011
novo_pedido,0.00246045700077957
novo_pedido,0.002143710999007453
novo_pedido,0.0021254799994494533
novo_pedido,0.0018959229983011028
novo_pedido,0.0024381849998462712
novo_pedido,0.0022057240003050538
novo_pedido,0.0019310520001454279
novo_pedido,0.0018197869994764915
novo_pedido,0.0017716230013320455
novo_pedido,0.001965171999472659
novo_pedido,0.001936556998771266
novo_pedido,0.002284168000187492
novo_pedido,0.0019079550002061296
novo_pedido,0.0018469589995220304
novo_pedido,0.001852094001151272
novo_pedido,0.0018263090005348204
novo_pedido,0.0016983109999273438
novo_pedido,0.0016501779991813237
novo_pedido,0.0020316760001151124
novo_pedido,0.0021238599983917084
novo_pedido,0.0019085799995082198
novo_pedido,0.0020979569999326486
novo_pedido,0.0018990630014741328
novo_pedido,0.002204549000452971
novo_pedido,0.002418396999928518
novo_pedido,0.002269575999889639
novo_pedido,0.0018775230000755982
novo_pedido,0.0017799140005081426
novo_pedido,0.001836735000324552
novo_pedido,0.0019081070004176581
novo_pedido,0.0019231070000387263
novo_pedido,0.0019845200004056096
novo_pedido,0.002386628999374807
novo_pedido,0.0019593310007621767
novo_pedido,0.001909390000946587
novo_pedido,0.0020351729999674717
novo_pedido,0.0021380220005084993
novo_pedido,0.0023043569999572355
novo_pedido,0.0021428410000225995
novo_pedido,0.0023398550001729745
novo_pedido,0.0021862459998374106
novo_pedido,0.002225066000391962
novo_pedido,0.0019113870002911426
novo_pedido,0.0018126089998986572
novo_pedido,0.0018966480001836317
novo_pedido,0.0018390179993730271
novo_pedido,0.0017698840001685312
novo_pedido,0.0021796430009999312
novo_pedido,0.002044867000222439
novo_pedido,0.002059487998849363
novo_pedido,0.002190580000387854
novo_pedido,0.002811226999256178
novo_pedido,0.002079183999740053
novo_pedido,0.0019130529999529244
novo_pedido,0.0023422230005962774
novo_pedido,0.0020313219993113307
novo_pedido,0.0018071449994749855
novo_pedido,0.0018867540002247551
novo_pedido,0.001946606000274187
novo_pedido,0.0022066629990149522
novo_pedido,0.0022697069998685038
novo_pedido,0.0021843779995833756
novo_pedido,0.00205056899903866
novo_pedido,0.0018935910011350643
novo_pedido,0.0017841270000644727
novo_pedido,0.0018011390002357075
novo_pedido,0.0016939679990173317
novo_pedido,0.001635106998946867
novo_pedido,0.0016861349995451747
novo_pedido,0.002236891999928048
novo_pedido,0.0020532520011329325
novo_pedido,0.001982067999051651
novo_pedido,0.001761215000442462
novo_pedido,0.0017779400004656054
novo_pedido,0.0017490910013293615
novo_pedido,0.0018201240000053076
novo_pedido,0.0019599099996412406
novo_pedido,0.001745989999108133
