tabela,tempo(s)
armazem,0.06285701400003063
armazem,0.004286261000004288
armazem,0.004326461999994535
armazem,0.0033129700000245066
armazem,0.0034756350000293423
armazem,0.002770434000012756
armazem,0.002683964000027572
armazem,0.002813745000025847
armazem,0.0035062279999920065
armazem,0.0027077189999999973
armazem,0.0023126209999873026
armazem,0.002192700000023251
armazem,0.002751756000009209
armazem,0.002548692999994273
armazem,0.002336441000011291
armazem,0.0024849730000369163
armazem,0.0025107620000426323
armazem,0.0026063829999998234
armazem,0.00230963899997505
armazem,0.0023254650000126276
armazem,0.0024373400000285983
armazem,0.0023772650000069007
armazem,0.002492377999999462
armazem,0.002496042999950987
armazem,0.0025644169999736732
setor,0.004307399999959216
setor,0.002567231999989872
setor,0.0025130220000164627
setor,0.0024766020000015487
setor,0.0027190000000132386
setor,0.002475514000025214
setor,0.0023260010000285547
setor,0.0023345380000137084
setor,0.002747288000023218
setor,0.0025160720000485526
setor,0.0023098359999949025
setor,0.0024097500000266336
setor,0.0024057690000063303
setor,0.002314450999961082
setor,0.002544799000020248
setor,0.002645755999992616
setor,0.0028005280000229504
setor,0.002861260999964088
setor,0.002292566999983592
setor,0.002388538999980483
setor,0.0024875350000002072
setor,0.002488734999985809
setor,0.002424708000035025
setor,0.0023843379999561876
setor,0.002772017000040705
setor,0.0025842949999628217
setor,0.002404612000020734
setor,0.002234270999963428
setor,0.002331978999961848
setor,0.0022599770000510944
setor,0.0024010519999819735
setor,0.0021820430000047963
setor,0.0024850180000157707
setor,0.0023186120000104893
setor,0.0024070730000289586
setor,0.0024109679999924083
setor,0.00239532099999451
setor,0.002338237999992998
setor,0.002542232999985572
setor,0.002537625999991633
setor,0.002553293999994821
setor,0.002271284000016749
setor,0.0022375160000365213
setor,0.002202976999967632
setor,0.00243168299999752
setor,0.0024358409999649666
setor,0.002398491999997532
setor,0.0030387319999931606
setor,0.002566634000004342
setor,0.002207247000001189
setor,0.0020459819999700812
setor,0.0025038300000232994
setor,0.0024119720000044254
setor,0.00219921300003989
setor,0.0022597780000523926
setor,0.0022790350000150283
setor,0.0024274479999917276
setor,0.0021803569999860883
setor,0.002249428999959946
setor,0.002542742000002818
setor,0.0024701849999928527
setor,0.002227747000006275
setor,0.002404407000028641
setor,0.002160881000008885
setor,0.002197309999985464
setor,0.0021153089999756958
setor,0.002204236000011406
setor,0.0020940239999731602
setor,0.002226656000004823
setor,0.0021525600000131817
setor,0.002045893000001797
setor,0.0020291150000275593
setor,0.002284024000005047
setor,0.0026114080000070317
setor,0.002190001000030861
setor,0.0022835909999798787
setor,0.0024900989999991907
setor,0.002595638999991934
setor,0.0021821580000391805
setor,0.0020470629999636003
setor,0.002294978000008996
setor,0.002200146000006953
setor,0.0020251880000046185
setor,0.0019841669999891565
setor,0.0025427060000424717
setor,0.002115954000032616
setor,0.001991170999986025
setor,0.0020023400000468428
setor,0.002476821000016116
setor,0.0020970340000303622
setor,0.0019764190000159942
setor,0.0019110169999976279
setor,0.002146030000005794
setor,0.002009778000001461
setor,0.001991594999992685
setor,0.002203695999980937
setor,0.002173486000003777
setor,0.0020465909999529686
setor,0.0019484019999822522
setor,0.0020974450000039724
setor,0.0021871139999802836
setor,0.002325800999983585
setor,0.002498005999996167
setor,0.002106991999994534
setor,0.002204218000031233
setor,0.002075636000029135
setor,0.0026219880000439844
setor,0.0022395560000063597
setor,0.0022479570000086824
setor,0.0019801239999992504
setor,0.0019367439999768976
setor,0.002051388999973369
setor,0.0022045250000246597
setor,0.0020244709999701627
setor,0.0020015100000136954
setor,0.001980113000001893
setor,0.0023962359999814
setor,0.002130314999988059
setor,0.002472819000047366
setor,0.0021923749999928077
setor,0.0022161730000220814
setor,0.0020455050000123265
setor,0.0021435369999949216
setor,0.001987461999988227
setor,0.002110506000008172
setor,0.0021658309999565972
setor,0.002148392000037802
setor,0.002398341999992226
setor,0.0023595010000008187
setor,0.002291951000017889
setor,0.002029692000007799
setor,0.001981365000006008
setor,0.002078282000013587
setor,0.002044441000009556
setor,0.002067000000010921
setor,0.0019407649999720888
setor,0.002174862000003941
setor,0.002109757000027912
setor,0.002347538999970311
setor,0.0027267209999877196
setor,0.0021882639999830644
setor,0.002285669999992024
setor,0.0021458190000203103
setor,0.002481972999987647
setor,0.002350476999993134
setor,0.0027499260000354298
setor,0.0023763259999896036
setor,0.0021100900000305955
setor,0.0025227790000030836
setor,0.002442286999951193
setor,0.0020770390000279804
setor,0.0021451229999911448
setor,0.002228215000002365
setor,0.0020047099999942475
setor,0.002019915999994737
setor,0.0019899109999528264
setor,0.0024677349999819853
setor,0.0020867540000040208
setor,0.002162956999995913
setor,0.0020685360000243236
setor,0.0024364799999716524
setor,0.0019690990000071906
setor,0.001916985000036675
setor,0.001940471000011712
setor,0.0021098920000213184
setor,0.0020630199999800425
setor,0.002037427999994179
setor,0.0020314999999868633
setor,0.0024785090000136734
setor,0.002066615999979149
setor,0.0019147369999927832
setor,0.0022035969999478766
setor,0.002148652000016682
setor,0.0019272449999903074
setor,0.001847301999987394
setor,0.0018556920000492028
setor,0.0021836480000274605
setor,0.0018711810000127116
setor,0.0020668349999937163
setor,0.002129553000031592
setor,0.002115235000019311
setor,0.002030977000003986
setor,0.0035585680000167486
setor,0.0028854380000211677
setor,0.002277550999963296
setor,0.0020151049999981296
setor,0.0019163169999956153
setor,0.0019264720000364832
setor,0.0020897329999911562
setor,0.0020937329999810572
setor,0.002184636999970735
setor,0.0021079789999589593
setor,0.0023635120000449206
setor,0.0021327460000293286
setor,0.0021358679999821106
setor,0.002305745000001025
setor,0.0023306030000185274
setor,0.002233247000049232
setor,0.0021871680000344895
setor,0.002342597999984264
setor,0.00237543899999082
setor,0.002272561999973277
setor,0.002202606000025753
setor,0.002172129000030054
setor,0.0023321740000028512
setor,0.00215188799995758
setor,0.0024483839999902557
setor,0.0021247829999992973
setor,0.0023010699999872486
setor,0.0022909539999886874
setor,0.0021696700000006786
setor,0.002184960000022329
setor,0.0022793219999925896
setor,0.002178232999995089
setor,0.002127515999973184
setor,0.0021262170000113656
setor,0.0022873920000279213
setor,0.0023025100000495513
setor,0.0022373779999611543
setor,0.0022398790000011104
setor,0.0023703040000100373
setor,0.0023561220000374306
setor,0.002751946999978827
setor,0.0026826650000089103
setor,0.0025712359999943146
setor,0.0022809690000258342
setor,0.002283065999961309
setor,0.00276943599999413
setor,0.002805159000047297
setor,0.002593368000020746
setor,0.0028257929999995213
setor,0.0023297810000144636
setor,0.002286440999966999
setor,0.0022909690000005867
setor,0.0022464020000256824
setor,0.002195098000015605
setor,0.0022835639999811974
setor,0.0020981189999815797
setor,0.002077997000014875
setor,0.002205106000019441
setor,0.0022948220000102992
setor,0.002107072999990578
setor,0.002154914000016106
setor,0.0021363829999927475
setor,0.0022942580000062662
setor,0.0021186149999721238
setor,0.0021151200000417703
setor,0.002118248999977368
setor,0.002289421999989827
setor,0.00213527199997543
cliente,0.005578080000020691
cliente,0.003045769999971526
cliente,0.002919273000031808
cliente,0.002935378000017863
cliente,0.003104382000003625
cliente,0.0030607570000142914
cliente,0.0029494999999997162
cliente,0.0030938590000459953
cliente,0.0031941590000315045
cliente,0.00294448699997929
cliente,0.0026922080000417736
cliente,0.0026026639999940926
cliente,0.0027662580000082926
cliente,0.002940620000003946
cliente,0.0028507869999998547
cliente,0.0030234700000164594
cliente,0.003238038000006327
cliente,0.0028631980000000112
cliente,0.002734046999989914
cliente,0.0026518930000065666
cliente,0.0028586329999598092
cliente,0.0028568740000309845
cliente,0.002831908000018757
cliente,0.002731482000001506
cliente,0.002784027000018341
cliente,0.0026096789999883185
cliente,0.002555637000000388
cliente,0.002606167000010373
cliente,0.002851543000019774
cliente,0.0027026669999941078
cliente,0.002804153999989012
cliente,0.0027515040000025692
cliente,0.0029857330000027105
cliente,0.002620739000008143
cliente,0.002638709999985167
cliente,0.0026598790000207373
cliente,0.002894355000023552
cliente,0.0026410659999669406
cliente,0.0026198240000212536
cliente,0.0027765980000253876
cliente,0.002700473000004422
cliente,0.0026372680000008586
cliente,0.002756997999995292
cliente,0.002628711999989264
cliente,0.002717936000010468
cliente,0.0025662809999857927
cliente,0.00255360500000279
cliente,0.0025585370000271723
cliente,0.002742691999969793
cliente,0.002922921999982009
cliente,0.002640549999966879
cliente,0.002583507999986523
